693692460,E6D39844-4B2C-4F35-A362-78A4E7F93D02,E6D39844-4B2C-4F35-A362-78A4E7F93D02,105205732
694543607,1052413154929100833420170924162030,1052413154929100833420170924162030,105075687
693497984,D5828E78-DBB5-4043-AD4B-216B5FAE288F,D5828E78-DBB5-4043-AD4B-216B5FAE288F,104747730
695356964,5020160547432340,5020160547432340,105205847
693754724,89c7f28e0a084cc98321cf292f8b80af,89c7f28e0a084cc98321cf292f8b80af,104935304
692904042,8008543B-3433-485C-A452-84C75211C66B,8008543B-3433-485C-A452-84C75211C66B,104775198
695449441,CACF1A0F-7DA9-4BD8-B189-C7B9ED732775,CACF1A0F-7DA9-4BD8-B189-C7B9ED732775,105187384
693946914,f68e4651fb3944efa9bf48399ee7074f,f68e4651fb3944efa9bf48399ee7074f,104778010
694840322,5020160537169533,5020160537169533,105115951
695382231,5020160547759930,5020160547759930,105213776
695382231,5020160547759930,5020160547759930,105213779
693787349,91D147EA-952E-49C3-84F6-5824E924A345,91D147EA-952E-49C3-84F6-5824E924A345,104943818
694614059,5020160532688415,5020160532688415,104750853
693929606,1052213144016100829020170922210625,1052213144016100829020170922210625,104964961
695426293,5020160548426891,5020160548426891,105150249
692892692,A58E86AC-5830-48C8-B2EF-7C7A6234D874,A58E86AC-5830-48C8-B2EF-7C7A6234D874,104760083
692899683,50249A62-EEBB-42E8-90A5-4694693A813F,50249A62-EEBB-42E8-90A5-4694693A813F,104781039
695150364,5020160543380041,5020160543380041,105162693
692874581,5020160509953736,5020160509953736,104745456
694448639,5020160531135761,5020160531135761,104814660
693934660,E5494AF4-AACC-4F39-BF50-6FF46DD6C281,E5494AF4-AACC-4F39-BF50-6FF46DD6C281,105019016
695106027,5020160541379493,5020160541379493,104918559
693589543,AED8DAF0-72A5-46EC-B7C9-1E23C8E52D83,AED8DAF0-72A5-46EC-B7C9-1E23C8E52D83,104869295
694259483,5020160527476744,5020160527476744,105028113
694836172,5020160537055662,5020160537055662,105115490
694635702,8C79B8A2-BFB3-462D-923E-B633C35C5521,8C79B8A2-BFB3-462D-923E-B633C35C5521,105026052
